Date;FTHG;FTHGb;FTAG;FTAGb;HS;HSb;HST;HSTb;HC;HCb;OddsH;Resultado
4/20/2019;3;1,12;1;1,12;15;1,12;6;1,12;4;1,12;2,59;S
4/20/2019;2;1,59;2;1,59;11;1,59;3;1,59;6;1,59;3,21;F
4/20/2019;0;1,5;0;1,5;22;1,5;5;1,5;14;1,5;1,77;F
4/21/2019;2;2,29;3;2,29;12;2,29;5;2,29;8;2,29;1,56;F
4/21/2019;0;1,12;2;1,12;7;1,12;2;1,12;5;1,12;14,96;F
4/21/2019;4;1,41;0;1,41;15;1,41;8;1,41;10;1,41;3,23;S
4/22/2019;2;2;2;2;22;2;9;2;10;2;1,25;F
4/23/2019;1;1,94;0;1,94;29;1,94;5;1,94;6;1,94;1,29;S
4/23/2019;1;1,44;1;1,44;15;1,44;4;1,44;3;1,44;2,29;F
4/24/2019;0;2;2;2;12;2;1;2;1;2;6,94;F
4/24/2019;3;1,41;1;1,41;11;1,41;3;1,41;5;1,41;2,95;S
4/26/2019;5;2,82;0;2,82;21;2,82;7;2,82;4;2,82;1,08;S
4/27/2019;1;1;1;1;9;1;2;1;7;1;2,35;F
4/27/2019;0;0,82;0;0,82;8;0,82;0;0,82;5;0,82;2,63;F
4/27/2019;1;1,24;0;1,24;8;1,24;2;1,24;10;1,24;2,4;S
4/27/2019;3;1,35;3;1,35;22;1,35;7;1,35;9;1,35;1,92;F
4/27/2019;0;1,88;1;1,88;14;1,88;4;1,88;2;1,88;1,44;F
4/27/2019;1;1,41;2;1,41;10;1,41;1;1,41;4;1,41;2,64;F
4/28/2019;0;1,35;1;1,35;2;1,35;0;1,35;0;1,35;19,41;F
4/28/2019;3;1,24;0;1,24;24;1,24;12;1,24;8;1,24;2,68;S
4/28/2019;1;1,88;1;1,88;7;1,88;5;1,88;6;1,88;2,73;F
05/03/2019;2;1,56;0;1,56;20;1,56;6;1,56;8;1,56;1,68;S
05/04/2019;1;1,61;0;1,61;20;1,61;6;1,61;10;1,61;4,06;S
05/04/2019;2;1,06;3;1,06;18;1,06;8;1,06;10;1,06;2,62;F
05/04/2019;2;1,22;3;1,22;14;1,22;7;1,22;2;1,22;9,92;F
05/04/2019;3;1,61;0;1,61;17;1,61;6;1,61;2;1,61;2,33;S
05/04/2019;1;1,5;0;1,5;19;1,5;6;1,5;7;1,5;1,56;S
05/05/2019;1;2,28;1;2,28;20;2,28;8;2,28;16;2,28;1,43;F
05/05/2019;3;2;0;2;19;2;9;2;6;2;1,39;S
05/05/2019;1;0,5;1;0,5;7;0,5;3;0,5;3;0,5;9,23;F
05/06/2019;1;3,11;0;3,11;19;3,11;5;3,11;11;3,11;1,17;S
05/12/2019;1;1;4;1;6;1;2;1;2;1;15,63;F
05/12/2019;1;1,28;3;1,28;14;1,28;5;1,28;4;1,28;3,15;F
05/12/2019;5;0,78;3;0,78;17;0,78;8;0,78;4;0,78;1,88;S
05/12/2019;0;1,22;4;1,22;16;1,22;2;1,22;5;1,22;2,55;F
05/12/2019;0;1,33;0;1,33;9;1,33;3;1,33;4;1,33;2,44;F
05/12/2019;2;2,94;0;2,94;13;2,94;5;2,94;4;2,94;1,31;S
05/12/2019;0;1,83;2;1,83;26;1,83;10;1,83;11;1,83;1,28;F
05/12/2019;1;1,44;1;1,44;10;1,44;3;1,44;4;1,44;1,44;F
05/12/2019;2;1,78;2;1,78;11;1,78;3;1,78;7;1,78;2,1;F
05/12/2019;1;1,39;4;1,39;17;1,39;8;1,39;7;1,39;2,2;F
